X,Y,OBJECTID,ID,NAME,ADDRESS,ARCH_TYPE,CONST_DATE,PHOTOS,SDE_PHOTOS,NUM_ON_REGISTER,DESIGNATION_DATE
-92.012543532857777,30.278356103643521,47,1008,JEAN BATISTE MOUTON HOUSE,310 SIDNEY MARTIN RD,FRENCH CREOLE,CIRCA 1835,JOHN_BATISTE_MOUTON_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/008-JeanBatisteMouton.jpg,8,1991-02-07T00:00:00.000Z
-92.000624096335088,30.286052914046778,48,1007,ALEXANDRE LATIOLAIS HOUSE,900 E BUTCHER SWITCH RD,FRENCH CREOLE,CIRCA 1790,ALEXANDRE_LATIOLAIS_HOUSE,\\LCGCrimeView\GISData\Photos\ALEXANDRE_LATIOLAIS_HOUSE.tif,7,1991-02-07T00:00:00.000Z
-92.017276794810513,30.222555173929354,49,1005,FIRST UNITED METHODIST CHURCH,703 LEE AVE,NEO-CLASSICAL,1925,FIRST_UNITED_METHODIST_CHURCH,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/005-FirstUnitedMethodistChurch.jpg,5,1990-11-01T00:00:00.000Z
-92.020452362365674,30.222481829043133,50,1004,OLD CITY HALL,217 W MAIN ST,ITALIANATE,1898,OLD_CITY_HALL,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/004-OldCityHall.jpg,4,1990-11-01T00:00:00.000Z
-92.018624408739626,30.225712459903054,51,1003,OLD GUARANTY BANK,500 JEFFERSON ST,NEO-CLASSICAL,1905,OLD_GUARANTY_BANK,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/003-OldGuaranteeBank.jpg,3,1990-11-01T00:00:00.000Z
-92.020953809276293,30.220887145901958,52,1002,ALEXANDRE MOUTON HOUSE,1122 LAFAYETTE ST,FRENCH COLONIAL,CIRCA 1810,ALEXANDRE_MOUTON_HOUSE,\\LCGCrimeView\GISData\Photos\ALEXANDRE_MOUTON_HOUSE.tif,2,1990-11-01T00:00:00.000Z
-92.017987047831937,30.223867368745726,53,1001,HOPE LODGE #145,116 E VERMILION ST,GOTHIC REVIVAL,1916,HOPE_LODGE_145,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/001-HopeLodge145.jpg,1,1990-11-01T00:00:00.000Z
-92.021909529631387,30.218100473948137,54,1037,SHADY BROOK HOUSE,127 CHERRY ST,COLONIAL REVIVAL,CIRCA 1912,SHADY_BROOK_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/037-ShadyBrookHouse.jpg,37,1995-02-01T00:00:00.000Z
-92.021795342593606,30.213916441125452,55,1046,LA MAISON ACADIENNE FRANÇAISE,1511 JOHNSTON ST,COLONIAL REVIVAL,CIRCA 1920,LA_MAISON_ACADIENNE_FRANCAISE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/046-LaMaisonAcadienneFrancaise.jpg,46,1997-12-03T00:00:00.000Z
-92.025073272344201,30.221103408175868,57,1055,HOHORST HOUSE,112 AZALEA ST,AMERICAN FOURSQUARE,1905,HOHORST_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/055-HoHorstHouse.jpg,55,2003-02-20T00:00:00.000Z
-92.020075796771962,30.227577025741745,58,1056,WILLIAM BRANDT HOUSE,614 MADISON ST,GREEK REVIVAL,CIRCA 1840,WILLIAM_BRANDT_HOUSE,http://lafayettela.gov/PZD/Zoning/Historic%20Building%20Photos/056-WilliamBrandtHouse.jpg,56,2003-03-20T00:00:00.000Z
